true_labels,predicted_labels,probabilities
1,0,"[0.18148691952228546, 0.1480540931224823, 0.16349631547927856, 0.1146954670548439, 0.056714098900556564, 0.04416592791676521, 0.10160529613494873, 0.11833502352237701, 0.07144686579704285]"
6,0,"[0.18151651322841644, 0.14805889129638672, 0.16352660953998566, 0.11468242108821869, 0.0566948838531971, 0.04416283220052719, 0.10160868614912033, 0.11832865327596664, 0.07142048329114914]"
2,0,"[0.1814875304698944, 0.14804908633232117, 0.16350361704826355, 0.11470189690589905, 0.056715529412031174, 0.04417116940021515, 0.10160010308027267, 0.11832407116889954, 0.07144702225923538]"
1,0,"[0.18147780001163483, 0.1480507105588913, 0.16348932683467865, 0.11470216512680054, 0.056721024215221405, 0.044169481843709946, 0.10160132497549057, 0.11833181232213974, 0.0714564397931099]"
1,0,"[0.18150851130485535, 0.148060604929924, 0.16351474821567535, 0.11468183994293213, 0.05669860914349556, 0.04415977746248245, 0.1016121506690979, 0.1183382198214531, 0.07142559438943863]"
6,0,"[0.18151646852493286, 0.14805887639522552, 0.16352657973766327, 0.11468245834112167, 0.05669490993022919, 0.04416283592581749, 0.10160868614912033, 0.11832866817712784, 0.07142051309347153]"
2,0,"[0.1814793050289154, 0.14804856479167938, 0.1634940207004547, 0.11470453441143036, 0.056720759719610214, 0.04417154937982559, 0.10159941017627716, 0.11832686513662338, 0.0714549571275711]"
2,0,"[0.18147651851177216, 0.14804930984973907, 0.16348989307880402, 0.11470410227775574, 0.05672182887792587, 0.04416990280151367, 0.10160135477781296, 0.11833121627569199, 0.07145588099956512]"
6,0,"[0.18150462210178375, 0.14806312322616577, 0.16350677609443665, 0.11467940360307693, 0.05669992044568062, 0.04415665939450264, 0.10161520540714264, 0.11834608018398285, 0.07142815738916397]"
2,0,"[0.18148323893547058, 0.14804941415786743, 0.16349805891513824, 0.11470239609479904, 0.056717779487371445, 0.044170137494802475, 0.1016012579202652, 0.11832785606384277, 0.0714498832821846]"
1,0,"[0.1814759075641632, 0.14805082976818085, 0.16348712146282196, 0.1147022619843483, 0.05672171339392662, 0.0441683866083622, 0.10160274058580399, 0.11833456158638, 0.0714564248919487]"
0,0,"[0.18148639798164368, 0.1480521410703659, 0.1634979546070099, 0.11469827592372894, 0.0567154623568058, 0.04416868835687637, 0.10160213708877563, 0.11832979321479797, 0.07144910842180252]"
2,0,"[0.1814795434474945, 0.14805184304714203, 0.16349010169506073, 0.11470013111829758, 0.05671932175755501, 0.044167887419462204, 0.10160323232412338, 0.11833421885967255, 0.0714537650346756]"
1,0,"[0.18151037395000458, 0.1480531096458435, 0.16352634131908417, 0.11469146609306335, 0.056700777262449265, 0.044168971478939056, 0.10160231590270996, 0.11831893771886826, 0.07142767310142517]"
1,0,"[0.1814778596162796, 0.14805001020431519, 0.16349025070667267, 0.11470304429531097, 0.05672125890851021, 0.04417027533054352, 0.10160050541162491, 0.11833018809556961, 0.0714566558599472]"
0,0,"[0.1814858764410019, 0.148055300116539, 0.16349352896213531, 0.11469415575265884, 0.056714292615652084, 0.044164564460515976, 0.10160663723945618, 0.1183382123708725, 0.0714474692940712]"
1,0,"[0.18147540092468262, 0.14805348217487335, 0.16348300874233246, 0.11469889432191849, 0.05672106891870499, 0.044165633618831635, 0.10160553455352783, 0.11834049224853516, 0.07145654410123825]"
1,0,"[0.18147674202919006, 0.14805226027965546, 0.1634860634803772, 0.11470024287700653, 0.05672090873122215, 0.044167473912239075, 0.10160347819328308, 0.1183362826704979, 0.07145651429891586]"
1,0,"[0.181482195854187, 0.148050457239151, 0.16349510848522186, 0.11470141261816025, 0.056718409061431885, 0.044169832020998, 0.10160111635923386, 0.11832915246486664, 0.0714523196220398]"
2,0,"[0.18147888779640198, 0.1480521410703659, 0.1634889394044876, 0.11469988524913788, 0.0567195825278759, 0.04416750743985176, 0.10160361975431442, 0.11833526194095612, 0.07145421206951141]"
1,0,"[0.18148691952228546, 0.1480540931224823, 0.16349631547927856, 0.1146954670548439, 0.056714098900556564, 0.04416592791676521, 0.10160529613494873, 0.11833502352237701, 0.07144686579704285]"
7,3,"[0.0537240132689476, 0.039760589599609375, 0.08457868546247482, 0.2990270256996155, 0.21378497779369354, 0.09321995079517365, 0.06748759001493454, 0.054065242409706116, 0.09435191750526428]"
7,3,"[0.05318368971347809, 0.039353251457214355, 0.08384452015161514, 0.30025434494018555, 0.21463218331336975, 0.09305822104215622, 0.06763052195310593, 0.05394947528839111, 0.09409376233816147]"
2,3,"[0.05474136024713516, 0.04053860902786255, 0.08591922372579575, 0.29674050211906433, 0.21212413907051086, 0.09347457438707352, 0.06728258728981018, 0.05432187765836716, 0.09485720843076706]"
2,3,"[0.05375663563609123, 0.03978729248046875, 0.08461084961891174, 0.2989575266838074, 0.21370552480220795, 0.09322041273117065, 0.06750200688838959, 0.054084956645965576, 0.09437473863363266]"
8,3,"[0.05340249836444855, 0.039518989622592926, 0.08413733541965485, 0.29975834488868713, 0.21427755057811737, 0.09312054514884949, 0.0675816610455513, 0.05400155484676361, 0.09420160949230194]"
8,3,"[0.05343208461999893, 0.039541903883218765, 0.08417411893606186, 0.2996923327445984, 0.21422310173511505, 0.09312678128480911, 0.06758034229278564, 0.054011501371860504, 0.09421782940626144]"
6,3,"[0.053220316767692566, 0.039379771798849106, 0.08390042185783386, 0.30016887187957764, 0.21458913385868073, 0.09307388961315155, 0.06760913878679276, 0.05395087972283363, 0.09410760551691055]"
3,3,"[0.05418753623962402, 0.04011845216155052, 0.08516471087932587, 0.2979968190193176, 0.21296986937522888, 0.09332089126110077, 0.06744123250246048, 0.05420635640621185, 0.09459413588047028]"
2,3,"[0.05463271588087082, 0.04045766964554787, 0.085762158036232, 0.29699206352233887, 0.21227189898490906, 0.09343797713518143, 0.06732916831970215, 0.05430728942155838, 0.09480901062488556]"
7,3,"[0.05463209003210068, 0.040457189083099365, 0.0857614204287529, 0.2969934046268463, 0.21227307617664337, 0.09343788772821426, 0.06732917577028275, 0.05430707708001137, 0.09480869770050049]"
7,3,"[0.053476717323064804, 0.03957701846957207, 0.0842268243432045, 0.2995953857898712, 0.21413728594779968, 0.09313374757766724, 0.0675821602344513, 0.05402839183807373, 0.09424241632223129]"
3,3,"[0.053517166525125504, 0.03960469365119934, 0.08429732918739319, 0.2994956374168396, 0.2141064703464508, 0.09315817058086395, 0.06754390895366669, 0.05402211844921112, 0.0942544937133789]"
8,3,"[0.05337922275066376, 0.039500750601291656, 0.08410957455635071, 0.29980912804603577, 0.21432170271873474, 0.09311656653881073, 0.0675811693072319, 0.053992968052625656, 0.0941888615489006]"
6,3,"[0.05334196984767914, 0.03947170823812485, 0.08406449109315872, 0.29989197850227356, 0.214393749833107, 0.09310959279537201, 0.06758014857769012, 0.05397893115878105, 0.09416743367910385]"
6,3,"[0.05345001444220543, 0.039554767310619354, 0.0842023640871048, 0.2996503412723541, 0.21420453488826752, 0.0931350514292717, 0.06756796687841415, 0.05401110276579857, 0.09422384202480316]"
1,3,"[0.05337707698345184, 0.03949766233563423, 0.08411471545696259, 0.29980987310409546, 0.2143419086933136, 0.09312237054109573, 0.06756749749183655, 0.05398481711745262, 0.09418414533138275]"
3,3,"[0.05413198471069336, 0.04007298871874809, 0.08510992676019669, 0.29811203479766846, 0.21310018002986908, 0.09332031011581421, 0.06741924583911896, 0.054174985736608505, 0.09455829858779907]"
8,3,"[0.053374286741018295, 0.03949709236621857, 0.08410266041755676, 0.2998209595680237, 0.21433007717132568, 0.09311482310295105, 0.06758230179548264, 0.053991734981536865, 0.09418606013059616]"
3,3,"[0.05393219366669655, 0.03992034122347832, 0.08484555780887604, 0.29856255650520325, 0.21342511475086212, 0.09326930344104767, 0.0674610286951065, 0.05412505194544792, 0.09445881843566895]"
3,3,"[0.05381675064563751, 0.039831940084695816, 0.08469662070274353, 0.2988204061985016, 0.21362243592739105, 0.09324124455451965, 0.06747754663228989, 0.05409291386604309, 0.09440012276172638]"
7,3,"[0.0537240132689476, 0.039760589599609375, 0.08457868546247482, 0.2990270256996155, 0.21378497779369354, 0.09321995079517365, 0.06748759001493454, 0.054065242409706116, 0.09435191750526428]"
8,3,"[0.12334664911031723, 0.10995100438594818, 0.12445925921201706, 0.17436456680297852, 0.09199690818786621, 0.08496768027544022, 0.07239202409982681, 0.07935081422328949, 0.13917118310928345]"
0,3,"[0.12311111390590668, 0.10968419164419174, 0.12436458468437195, 0.17468446493148804, 0.09218955039978027, 0.08499710261821747, 0.07249002903699875, 0.0793972983956337, 0.13908159732818604]"
4,3,"[0.1237461268901825, 0.11044298112392426, 0.12455049902200699, 0.17377996444702148, 0.09157944470643997, 0.08492980897426605, 0.0722186341881752, 0.0792747512459755, 0.1394776999950409]"
2,3,"[0.12362638115882874, 0.11033931374549866, 0.12444450706243515, 0.17390725016593933, 0.09159810096025467, 0.08495495468378067, 0.07226254045963287, 0.07930055260658264, 0.13956645131111145]"
2,3,"[0.12389537692070007, 0.11065365374088287, 0.12453232705593109, 0.17353159189224243, 0.09135901927947998, 0.08491416275501251, 0.07216113060712814, 0.07926122099161148, 0.13969150185585022]"
1,3,"[0.1231631189584732, 0.10972296446561813, 0.1244237869977951, 0.17463597655296326, 0.09219726175069809, 0.08498488366603851, 0.07247060537338257, 0.07938438653945923, 0.13901695609092712]"
7,3,"[0.12314889580011368, 0.10974134504795074, 0.1243550181388855, 0.17461712658405304, 0.09212445467710495, 0.08499753475189209, 0.07247091829776764, 0.07939030975103378, 0.13915443420410156]"
1,3,"[0.12313307076692581, 0.10969830304384232, 0.12439452111721039, 0.17466680705547333, 0.09219926595687866, 0.08499129861593246, 0.0724819153547287, 0.07939145714044571, 0.13904336094856262]"
1,3,"[0.12355358153581619, 0.11019787192344666, 0.12452181428670883, 0.17407014966011047, 0.09179995208978653, 0.08494618535041809, 0.07230276614427567, 0.07931030541658401, 0.13929741084575653]"
8,3,"[0.12311512976884842, 0.10970628261566162, 0.12433499097824097, 0.17466013133525848, 0.09214459359645844, 0.08500198274850845, 0.07248549163341522, 0.07939812541007996, 0.13915330171585083]"
0,3,"[0.12336335331201553, 0.1099720373749733, 0.12446271628141403, 0.17433984577655792, 0.09197887778282166, 0.08496618270874023, 0.07238462567329407, 0.07934776693582535, 0.13918456435203552]"
1,3,"[0.12316667288541794, 0.10973872989416122, 0.12440367043018341, 0.17461824417114258, 0.09216572344303131, 0.0849880501627922, 0.0724673718214035, 0.07938487827777863, 0.1390666663646698]"
8,3,"[0.12318263202905655, 0.10974076390266418, 0.12443884462118149, 0.1746142953634262, 0.09219178557395935, 0.08498076349496841, 0.07246384024620056, 0.07938075810670853, 0.1390063464641571]"
6,3,"[0.12332101911306381, 0.10994599014520645, 0.1244070902466774, 0.17437343299388885, 0.09196095168590546, 0.0849786177277565, 0.0723978579044342, 0.07935737818479538, 0.13925759494304657]"
8,3,"[0.12318683415651321, 0.10976335406303406, 0.1244080439209938, 0.1745888590812683, 0.09214425832033157, 0.08498596400022507, 0.0724589005112648, 0.07938124239444733, 0.13908252120018005]"
8,3,"[0.12318339943885803, 0.1097833588719368, 0.12436271458864212, 0.17456747591495514, 0.09208901971578598, 0.08499345183372498, 0.07245706766843796, 0.07938460260629654, 0.13917891681194305]"
8,3,"[0.1233537495136261, 0.1100078672170639, 0.12437538057565689, 0.1743023693561554, 0.09187418222427368, 0.08498185873031616, 0.07238037139177322, 0.07935325801372528, 0.13937103748321533]"
1,3,"[0.12320660799741745, 0.10977911204099655, 0.12442763894796371, 0.17456918954849243, 0.09214372932910919, 0.08498138934373856, 0.07245189696550369, 0.07937682420015335, 0.13906361162662506]"
8,3,"[0.1231531947851181, 0.10971906781196594, 0.12440589815378189, 0.17464138567447662, 0.09218747913837433, 0.08498820662498474, 0.07247404009103775, 0.07938744127750397, 0.13904333114624023]"
8,3,"[0.12350805848836899, 0.1101619154214859, 0.12447477877140045, 0.17411500215530396, 0.09179922938346863, 0.0849563479423523, 0.07231965661048889, 0.07932094484567642, 0.13934408128261566]"
8,3,"[0.12334664911031723, 0.10995100438594818, 0.12445925921201706, 0.17436456680297852, 0.09199690818786621, 0.08496768027544022, 0.07239202409982681, 0.07935081422328949, 0.13917118310928345]"
3,3,"[0.024589447304606438, 0.01745571382343769, 0.04756302759051323, 0.371046245098114, 0.292970210313797, 0.0858331173658371, 0.05659506469964981, 0.03610864281654358, 0.06783857941627502]"
4,3,"[0.024589931592345238, 0.01745608262717724, 0.047563694417476654, 0.3710448741912842, 0.29296839237213135, 0.08583338558673859, 0.056595418602228165, 0.03610905632376671, 0.06783917546272278]"
3,3,"[0.024589531123638153, 0.017455782741308212, 0.047563131898641586, 0.3710460066795349, 0.29296982288360596, 0.08583319932222366, 0.05659518763422966, 0.03610874339938164, 0.06783872097730637]"
0,3,"[0.02458944357931614, 0.017455702647566795, 0.04756300896406174, 0.37104618549346924, 0.2929702401161194, 0.0858331024646759, 0.05659504979848862, 0.03610863909125328, 0.06783856451511383]"
3,3,"[0.02459077350795269, 0.017456738278269768, 0.04756484553217888, 0.37104254961013794, 0.29296502470970154, 0.08583386987447739, 0.05659610033035278, 0.036109790205955505, 0.06784023344516754]"
3,3,"[0.0245895367115736, 0.017455777153372765, 0.04756314307451248, 0.3710460066795349, 0.2929699122905731, 0.08583316206932068, 0.05659513175487518, 0.036108724772930145, 0.06783869862556458]"
6,3,"[0.024589840322732925, 0.017456015571951866, 0.047563571482896805, 0.3710450828075409, 0.2929687201976776, 0.08583331853151321, 0.056595347821712494, 0.036108970642089844, 0.06783905625343323]"
3,3,"[0.02458995021879673, 0.01745609939098358, 0.04756370931863785, 0.3710448145866394, 0.2929682433605194, 0.08583337813615799, 0.05659543722867966, 0.0361090749502182, 0.06783919036388397]"
3,3,"[0.02458927594125271, 0.017455583438277245, 0.047562796622514725, 0.37104666233062744, 0.2929708659648895, 0.08583301305770874, 0.05659492313861847, 0.03610849753022194, 0.06783836334943771]"
3,3,"[0.02458956278860569, 0.017455799505114555, 0.04756317287683487, 0.371045857667923, 0.2929697334766388, 0.08583317697048187, 0.056595154106616974, 0.03610874339938164, 0.06783872842788696]"
3,3,"[0.024589912965893745, 0.017456069588661194, 0.047563645988702774, 0.37104496359825134, 0.29296836256980896, 0.08583341538906097, 0.056595467031002045, 0.0361090712249279, 0.06783918291330338]"
3,3,"[0.024589568376541138, 0.017455797642469406, 0.047563184052705765, 0.37104594707489014, 0.2929697334766388, 0.08583318442106247, 0.056595150381326675, 0.03610874339938164, 0.06783872842788696]"
3,3,"[0.02458966337144375, 0.017455879598855972, 0.04756331816315651, 0.37104561924934387, 0.29296934604644775, 0.08583325892686844, 0.05659526214003563, 0.036108843982219696, 0.0678388699889183]"
3,3,"[0.02458956278860569, 0.017455799505114555, 0.04756317287683487, 0.371045857667923, 0.2929697334766388, 0.08583317697048187, 0.056595154106616974, 0.03610874339938164, 0.06783872842788696]"
3,3,"[0.024589525535702705, 0.01745576784014702, 0.04756312072277069, 0.3710460066795349, 0.2929700016975403, 0.08583314716815948, 0.0565950982272625, 0.036108698695898056, 0.06783866137266159]"
3,3,"[0.02458995394408703, 0.01745610125362873, 0.047563716769218445, 0.3710448741912842, 0.2929682433605194, 0.08583339303731918, 0.05659544840455055, 0.0361090786755085, 0.06783920526504517]"
3,3,"[0.02458956278860569, 0.017455797642469406, 0.047563184052705765, 0.37104594707489014, 0.2929697334766388, 0.08583318442106247, 0.056595150381326675, 0.03610874339938164, 0.06783872842788696]"
3,3,"[0.02458995021879673, 0.01745609939098358, 0.04756370931863785, 0.3710448145866394, 0.2929682433605194, 0.08583337813615799, 0.05659543722867966, 0.0361090749502182, 0.06783919036388397]"
7,3,"[0.02458985708653927, 0.017456024885177612, 0.0475635826587677, 0.3710450828075409, 0.2929685413837433, 0.0858333557844162, 0.05659539997577667, 0.03610900416970253, 0.06783910095691681]"
4,3,"[0.024589069187641144, 0.01745542138814926, 0.047562502324581146, 0.3710472583770752, 0.292971670627594, 0.08583290129899979, 0.05659477040171623, 0.03610832244157791, 0.06783811002969742]"
3,3,"[0.024589447304606438, 0.01745571382343769, 0.04756302759051323, 0.371046245098114, 0.292970210313797, 0.0858331173658371, 0.05659506469964981, 0.03610864281654358, 0.06783857941627502]"
2,2,"[0.23971717059612274, 0.13245165348052979, 0.25795939564704895, 0.12232012301683426, 0.03547230735421181, 0.0621190220117569, 0.06719256937503815, 0.04730761796236038, 0.03546016290783882]"
2,2,"[0.23971715569496155, 0.1324516087770462, 0.25795942544937134, 0.12232015281915665, 0.03547229617834091, 0.06211904436349869, 0.06719256937503815, 0.047307584434747696, 0.03546014800667763]"
2,2,"[0.23971715569496155, 0.1324516087770462, 0.25795942544937134, 0.12232016772031784, 0.03547230362892151, 0.06211904436349869, 0.06719256192445755, 0.047307584434747696, 0.03546014800667763]"
2,2,"[0.23971715569496155, 0.1324516087770462, 0.25795942544937134, 0.12232015281915665, 0.03547229617834091, 0.06211904436349869, 0.06719256937503815, 0.047307584434747696, 0.03546014800667763]"
2,2,"[0.23971715569496155, 0.1324516087770462, 0.25795942544937134, 0.12232016026973724, 0.03547230362892151, 0.06211904436349869, 0.06719256937503815, 0.047307584434747696, 0.035460155457258224]"
3,2,"[0.23971715569496155, 0.1324516087770462, 0.25795942544937134, 0.12232016026973724, 0.03547230362892151, 0.06211904436349869, 0.06719256937503815, 0.047307584434747696, 0.035460155457258224]"
2,2,"[0.23971714079380035, 0.1324516087770462, 0.25795942544937134, 0.12232015281915665, 0.03547230362892151, 0.06211904436349869, 0.06719256937503815, 0.047307588160037994, 0.035460155457258224]"
2,2,"[0.23971715569496155, 0.1324516087770462, 0.25795942544937134, 0.12232015281915665, 0.03547229617834091, 0.06211904436349869, 0.06719256937503815, 0.047307584434747696, 0.03546014800667763]"
2,2,"[0.23971715569496155, 0.1324516087770462, 0.25795942544937134, 0.12232016026973724, 0.03547230362892151, 0.06211904436349869, 0.06719256192445755, 0.047307584434747696, 0.035460155457258224]"
2,2,"[0.23971715569496155, 0.1324516087770462, 0.25795942544937134, 0.12232015281915665, 0.03547230362892151, 0.06211904436349869, 0.06719256937503815, 0.047307588160037994, 0.035460155457258224]"
2,2,"[0.23971714079380035, 0.1324516087770462, 0.25795942544937134, 0.12232016026973724, 0.03547230362892151, 0.06211904436349869, 0.06719256192445755, 0.047307588160037994, 0.035460155457258224]"
2,2,"[0.23971715569496155, 0.1324516087770462, 0.25795942544937134, 0.12232015281915665, 0.03547229617834091, 0.06211904436349869, 0.06719256192445755, 0.047307584434747696, 0.03546014800667763]"
2,2,"[0.23971715569496155, 0.1324516087770462, 0.25795942544937134, 0.12232015281915665, 0.03547229617834091, 0.06211904436349869, 0.06719256937503815, 0.047307584434747696, 0.03546014800667763]"
2,2,"[0.23971715569496155, 0.1324516087770462, 0.25795942544937134, 0.12232015281915665, 0.03547229617834091, 0.06211904436349869, 0.06719256937503815, 0.047307584434747696, 0.03546014800667763]"
2,2,"[0.23971715569496155, 0.1324516087770462, 0.25795942544937134, 0.12232016026973724, 0.03547229617834091, 0.06211904436349869, 0.06719256192445755, 0.047307584434747696, 0.03546014800667763]"
2,2,"[0.23971715569496155, 0.1324516087770462, 0.25795942544937134, 0.12232015281915665, 0.03547229617834091, 0.06211904436349869, 0.06719256937503815, 0.047307584434747696, 0.03546014800667763]"
2,2,"[0.23971714079380035, 0.1324516087770462, 0.25795942544937134, 0.12232016026973724, 0.03547230362892151, 0.06211904436349869, 0.06719256192445755, 0.047307584434747696, 0.035460155457258224]"
2,2,"[0.23971715569496155, 0.1324516087770462, 0.25795942544937134, 0.12232016026973724, 0.03547229617834091, 0.06211904436349869, 0.06719256192445755, 0.047307584434747696, 0.03546014800667763]"
2,2,"[0.23971715569496155, 0.1324516087770462, 0.25795942544937134, 0.12232016026973724, 0.03547230362892151, 0.06211904436349869, 0.06719256192445755, 0.047307584434747696, 0.035460155457258224]"
2,2,"[0.23971715569496155, 0.1324516087770462, 0.25795942544937134, 0.12232015281915665, 0.03547229617834091, 0.06211904436349869, 0.06719256937503815, 0.047307584434747696, 0.03546014800667763]"
2,2,"[0.23971717059612274, 0.13245165348052979, 0.25795939564704895, 0.12232012301683426, 0.03547230735421181, 0.0621190220117569, 0.06719256937503815, 0.04730761796236038, 0.03546016290783882]"
1,0,"[0.15441635251045227, 0.1453062742948532, 0.14461062848567963, 0.1337016224861145, 0.07017891108989716, 0.09582780301570892, 0.04997694492340088, 0.05997122824192047, 0.14601022005081177]"
0,0,"[0.15441635251045227, 0.14530625939369202, 0.14461064338684082, 0.1337016224861145, 0.07017891854047775, 0.09582778811454773, 0.04997695982456207, 0.059971243143081665, 0.14601020514965057]"
0,0,"[0.15441633760929108, 0.14530624449253082, 0.14461064338684082, 0.1337016522884369, 0.07017894089221954, 0.09582778811454773, 0.04997696354985237, 0.059971243143081665, 0.14601017534732819]"
1,0,"[0.15441621840000153, 0.1453060805797577, 0.14461053907871246, 0.13370181620121002, 0.07017902284860611, 0.09582768380641937, 0.049977097660303116, 0.05997137725353241, 0.1460101455450058]"
1,0,"[0.15441635251045227, 0.14530625939369202, 0.14461064338684082, 0.1337016224861145, 0.07017891854047775, 0.09582778811454773, 0.04997695982456207, 0.059971243143081665, 0.14601020514965057]"
0,0,"[0.1544162631034851, 0.14530614018440247, 0.14461056888103485, 0.13370174169540405, 0.07017897069454193, 0.09582771360874176, 0.04997703433036804, 0.05997132137417793, 0.146010160446167]"
0,0,"[0.1544162631034851, 0.14530614018440247, 0.14461056888103485, 0.13370174169540405, 0.07017897069454193, 0.09582771360874176, 0.04997703433036804, 0.05997132137417793, 0.146010160446167]"
0,0,"[0.15441633760929108, 0.14530624449253082, 0.14461062848567963, 0.1337016522884369, 0.07017893344163895, 0.09582778811454773, 0.04997696727514267, 0.05997125804424286, 0.14601020514965057]"
0,0,"[0.15441633760929108, 0.14530624449253082, 0.14461062848567963, 0.13370166718959808, 0.07017893344163895, 0.09582778811454773, 0.04997696727514267, 0.05997125804424286, 0.14601020514965057]"
0,0,"[0.15441633760929108, 0.14530624449253082, 0.14461062848567963, 0.1337016522884369, 0.07017893344163895, 0.09582778811454773, 0.04997696727514267, 0.05997125804424286, 0.14601020514965057]"
4,0,"[0.15441633760929108, 0.14530624449253082, 0.14461064338684082, 0.1337016522884369, 0.07017894089221954, 0.09582778811454773, 0.04997696354985237, 0.059971243143081665, 0.14601017534732819]"
4,0,"[0.1544162631034851, 0.14530614018440247, 0.14461056888103485, 0.13370174169540405, 0.07017897069454193, 0.09582771360874176, 0.04997703433036804, 0.05997132137417793, 0.146010160446167]"
0,0,"[0.15441633760929108, 0.14530624449253082, 0.14461062848567963, 0.13370166718959808, 0.07017893344163895, 0.09582778811454773, 0.04997696727514267, 0.05997125804424286, 0.14601020514965057]"
1,0,"[0.15441633760929108, 0.14530624449253082, 0.14461062848567963, 0.1337016522884369, 0.07017893344163895, 0.09582778811454773, 0.04997696727514267, 0.05997125804424286, 0.14601020514965057]"
1,0,"[0.15441633760929108, 0.14530624449253082, 0.14461062848567963, 0.13370166718959808, 0.07017893344163895, 0.09582778811454773, 0.04997696727514267, 0.05997125804424286, 0.14601020514965057]"
5,0,"[0.15441633760929108, 0.14530624449253082, 0.14461062848567963, 0.1337016522884369, 0.07017893344163895, 0.09582778811454773, 0.04997696727514267, 0.05997125804424286, 0.14601020514965057]"
1,0,"[0.15441633760929108, 0.14530624449253082, 0.14461062848567963, 0.1337016522884369, 0.07017893344163895, 0.09582778811454773, 0.04997696727514267, 0.05997125804424286, 0.14601020514965057]"
1,0,"[0.15441633760929108, 0.14530624449253082, 0.14461062848567963, 0.13370166718959808, 0.07017893344163895, 0.09582778811454773, 0.04997696727514267, 0.05997125804424286, 0.14601019024848938]"
