true_labels,predicted_labels,probabilities
0,3,"[0.11570464074611664, 0.10360385477542877, 0.12828554213047028, 0.17571386694908142, 0.11389530450105667, 0.09374917298555374, 0.08275952935218811, 0.09108071774244308, 0.09520744532346725]"
1,3,"[0.10800624638795853, 0.08359178155660629, 0.11828887462615967, 0.1953003704547882, 0.16010724008083344, 0.09033101052045822, 0.07226844877004623, 0.07630684226751328, 0.09579914808273315]"
1,3,"[0.10716486722230911, 0.08827752619981766, 0.12125895917415619, 0.18791644275188446, 0.1575751155614853, 0.09158866107463837, 0.07185936719179153, 0.07962415367364883, 0.09473493695259094]"
1,3,"[0.11244351416826248, 0.09170283377170563, 0.11928959935903549, 0.19081157445907593, 0.14197199046611786, 0.09427925199270248, 0.07817410677671432, 0.08050812035799026, 0.09081894904375076]"
8,8,"[0.12978310883045197, 0.12277420610189438, 0.13681334257125854, 0.142306387424469, 0.08117449283599854, 0.06818073987960815, 0.11444446444511414, 0.05789724364876747, 0.1466260403394699]"
8,8,"[0.12581239640712738, 0.12818583846092224, 0.1345306783914566, 0.1405598521232605, 0.07747242599725723, 0.06416845321655273, 0.12105337530374527, 0.05655889958143234, 0.1516580730676651]"
8,8,"[0.1154252141714096, 0.1251809448003769, 0.13144409656524658, 0.14698673784732819, 0.0875111073255539, 0.06396672874689102, 0.11867348104715347, 0.05796349048614502, 0.15284819900989532]"
8,3,"[0.11496957391500473, 0.0994017943739891, 0.12597036361694336, 0.1710527390241623, 0.12588804960250854, 0.07895459234714508, 0.08711598813533783, 0.07948125153779984, 0.11716557294130325]"
1,3,"[0.11096765846014023, 0.08891280740499496, 0.11935491859912872, 0.1944696307182312, 0.14904889464378357, 0.09420781582593918, 0.07433323562145233, 0.07851912081241608, 0.09018593281507492]"
0,3,"[0.11211381107568741, 0.09019589424133301, 0.11856292188167572, 0.19427035748958588, 0.14585775136947632, 0.09521126002073288, 0.07656653225421906, 0.07843872904777527, 0.08878277242183685]"
0,3,"[0.11003642529249191, 0.08408598601818085, 0.1168953999876976, 0.20063871145248413, 0.15650655329227448, 0.09366042912006378, 0.07361914962530136, 0.07465284317731857, 0.08990444242954254]"
8,3,"[0.10913858562707901, 0.08370089530944824, 0.11853112280368805, 0.19682298600673676, 0.15652306377887726, 0.0899743139743805, 0.0726793184876442, 0.07783721387386322, 0.09479251503944397]"
3,3,"[0.12563884258270264, 0.09603548794984818, 0.13720765709877014, 0.1884973645210266, 0.08494828641414642, 0.0956491231918335, 0.07743120938539505, 0.09493200480937958, 0.09965997189283371]"
1,3,"[0.17845460772514343, 0.07933476567268372, 0.1502726525068283, 0.2156449407339096, 0.04550102353096008, 0.1055423766374588, 0.09423020482063293, 0.07256235927343369, 0.05845709145069122]"
3,3,"[0.15727800130844116, 0.07682450860738754, 0.1352381408214569, 0.22910459339618683, 0.06135271489620209, 0.10664353519678116, 0.09109140187501907, 0.07198422402143478, 0.07048295438289642]"
0,3,"[0.1426982581615448, 0.0796264261007309, 0.12942740321159363, 0.23008160293102264, 0.0687786266207695, 0.10828766971826553, 0.08309787511825562, 0.07461060583591461, 0.08339143544435501]"
3,3,"[0.10638277977705002, 0.07340901345014572, 0.12112849205732346, 0.22075024247169495, 0.11121338605880737, 0.09982355684041977, 0.08408988267183304, 0.07130122929811478, 0.1119014173746109]"
7,3,"[0.11718203872442245, 0.08122428506612778, 0.12606024742126465, 0.2037380486726761, 0.09993783384561539, 0.0984070673584938, 0.08193578571081161, 0.0812206119298935, 0.11029404401779175]"
7,3,"[0.145545095205307, 0.0956779271364212, 0.1606077253818512, 0.2222685068845749, 0.05293459817767143, 0.1046348437666893, 0.05664029344916344, 0.08417326211929321, 0.07751774042844772]"
3,3,"[0.12346438318490982, 0.08637911081314087, 0.1298859715461731, 0.20848070085048676, 0.09161968529224396, 0.10132601857185364, 0.07818152755498886, 0.08230654150247574, 0.09835601598024368]"
2,3,"[0.12509191036224365, 0.08586151152849197, 0.126473069190979, 0.21444596350193024, 0.0909644290804863, 0.10386446863412857, 0.08102121204137802, 0.07945963740348816, 0.09281772375106812]"
6,3,"[0.14914904534816742, 0.11425697058439255, 0.16532185673713684, 0.17447713017463684, 0.06625914573669434, 0.0855148583650589, 0.06895391643047333, 0.08736267685890198, 0.08870435506105423]"
0,3,"[0.1502726823091507, 0.10899996012449265, 0.15724964439868927, 0.1814040243625641, 0.06466500461101532, 0.086990125477314, 0.07017777115106583, 0.093704953789711, 0.08653582632541656]"
0,2,"[0.19229711592197418, 0.11920272558927536, 0.2152533084154129, 0.18209102749824524, 0.034389059990644455, 0.08116534352302551, 0.04537641629576683, 0.0640241876244545, 0.066200852394104]"
3,3,"[0.11868844926357269, 0.0679607018828392, 0.1172766238451004, 0.23942655324935913, 0.10762731730937958, 0.10232995450496674, 0.08044407516717911, 0.06594209372997284, 0.10030430555343628]"
3,3,"[0.10938169807195663, 0.06116550788283348, 0.11388251185417175, 0.26742348074913025, 0.1093514934182167, 0.100411556661129, 0.08727575093507767, 0.057575006037950516, 0.09353296458721161]"
3,3,"[0.1730954945087433, 0.11462469398975372, 0.18313108384609222, 0.1832086145877838, 0.04781421273946762, 0.0834394320845604, 0.05781112238764763, 0.08015947788953781, 0.07671580463647842]"
0,2,"[0.17313455045223236, 0.12575845420360565, 0.1754658818244934, 0.16265463829040527, 0.04947124421596527, 0.07655926793813705, 0.0673803761601448, 0.08882849663496017, 0.0807470977306366]"
4,3,"[0.08921544998884201, 0.05686289817094803, 0.11373597383499146, 0.23820355534553528, 0.17239144444465637, 0.09529130905866623, 0.07604432106018066, 0.05396350845694542, 0.10429152101278305]"
5,3,"[0.11109240353107452, 0.09202345460653305, 0.12182977050542831, 0.1824464499950409, 0.13111768662929535, 0.09256371110677719, 0.08293518424034119, 0.0857476219534874, 0.10024376213550568]"
1,3,"[0.11149384081363678, 0.10720206052064896, 0.12975668907165527, 0.15407274663448334, 0.07094930112361908, 0.09849895536899567, 0.09520293027162552, 0.10238281637430191, 0.1304405927658081]"
0,3,"[0.11138485372066498, 0.10751831531524658, 0.12997756898403168, 0.15317094326019287, 0.0691409483551979, 0.09875301271677017, 0.0956142246723175, 0.10275718569755554, 0.13168293237686157]"
4,3,"[0.11245749890804291, 0.10754310339689255, 0.12984760105609894, 0.15453648567199707, 0.06981194764375687, 0.0989094078540802, 0.0953749492764473, 0.1019950732588768, 0.1295238733291626]"
8,3,"[0.11126632988452911, 0.10775439441204071, 0.1301313042640686, 0.15242181718349457, 0.06721770018339157, 0.09887588769197464, 0.09631139039993286, 0.10323917865753174, 0.1327819526195526]"
1,3,"[0.11670167744159698, 0.10813001543283463, 0.13383245468139648, 0.15555253624916077, 0.05848415568470955, 0.10031520575284958, 0.09480415284633636, 0.10484404861927032, 0.12733577191829681]"
4,3,"[0.11312729120254517, 0.10569918900728226, 0.12850357592105865, 0.15934263169765472, 0.08019566535949707, 0.0976000502705574, 0.0929311141371727, 0.09969183057546616, 0.12290870398283005]"
0,3,"[0.11369136720895767, 0.10578949004411697, 0.12849923968315125, 0.15985748171806335, 0.08019809424877167, 0.09786541759967804, 0.09276887774467468, 0.0992136299610138, 0.12211641669273376]"
5,3,"[0.12193240225315094, 0.08809346705675125, 0.11780264228582382, 0.2094353586435318, 0.12918950617313385, 0.10430055111646652, 0.08141885697841644, 0.0716068223118782, 0.07622041553258896]"
3,2,"[0.17507894337177277, 0.08953967690467834, 0.19131606817245483, 0.16970477998256683, 0.0214763805270195, 0.09073860198259354, 0.12549565732479095, 0.0823313444852829, 0.054318513721227646]"
5,3,"[0.12331932038068771, 0.09621338546276093, 0.12967173755168915, 0.20487487316131592, 0.11647408455610275, 0.10464014858007431, 0.07397966086864471, 0.0751296654343605, 0.07569723576307297]"
3,3,"[0.17371171712875366, 0.09323585033416748, 0.15680533647537231, 0.22550812363624573, 0.09531234204769135, 0.10677028447389603, 0.04541335254907608, 0.039817869663238525, 0.06342519074678421]"
3,3,"[0.11644382029771805, 0.09418164193630219, 0.12013112008571625, 0.1879197061061859, 0.11980169266462326, 0.098396897315979, 0.08534768223762512, 0.08129125833511353, 0.09648623317480087]"
1,3,"[0.12481018155813217, 0.10366922616958618, 0.1271364837884903, 0.19468986988067627, 0.12533217668533325, 0.09670788794755936, 0.07555719465017319, 0.07519055157899857, 0.07690641283988953]"
3,2,"[0.19547469913959503, 0.07417465001344681, 0.19982440769672394, 0.1823471337556839, 0.018935421481728554, 0.08748392760753632, 0.13415032625198364, 0.06828882545232773, 0.0393206812441349]"
6,0,"[0.17067857086658478, 0.13043731451034546, 0.1577170342206955, 0.14896179735660553, 0.049424998462200165, 0.07095013558864594, 0.08151315152645111, 0.1039067804813385, 0.08641020208597183]"
6,0,"[0.16511133313179016, 0.12750326097011566, 0.15593183040618896, 0.15043702721595764, 0.05078339949250221, 0.07293856889009476, 0.08099527657032013, 0.10961976647377014, 0.08667948096990585]"
0,0,"[0.16666942834854126, 0.12659946084022522, 0.15641234815120697, 0.15210621058940887, 0.0504150353372097, 0.0731077715754509, 0.08052153885364532, 0.10710237920284271, 0.08706584572792053]"
3,3,"[0.11074664443731308, 0.08340901136398315, 0.14516934752464294, 0.23678962886333466, 0.0518314503133297, 0.10507652163505554, 0.09285718947649002, 0.07746975868940353, 0.0966503843665123]"
3,3,"[0.1196928545832634, 0.10201041400432587, 0.15571752190589905, 0.17828595638275146, 0.044049181044101715, 0.0995607003569603, 0.10535312443971634, 0.09399327635765076, 0.10133695602416992]"
3,3,"[0.12068045139312744, 0.10900253802537918, 0.1525058001279831, 0.15727074444293976, 0.042624011635780334, 0.09813408553600311, 0.10535474121570587, 0.10349036008119583, 0.11093718558549881]"
3,3,"[0.13346558809280396, 0.0786195918917656, 0.1534566432237625, 0.2308669239282608, 0.045906275510787964, 0.09960348904132843, 0.10955771058797836, 0.07193338871002197, 0.07659035921096802]"
5,3,"[0.11762344092130661, 0.08848116546869278, 0.14457190036773682, 0.22531427443027496, 0.04722343757748604, 0.10655602812767029, 0.08886659890413284, 0.08311360329389572, 0.09824959188699722]"
3,3,"[0.10536729544401169, 0.08212961256504059, 0.13879771530628204, 0.24386140704154968, 0.05588943883776665, 0.1072833463549614, 0.08629721403121948, 0.0776800587773323, 0.10269384831190109]"
5,3,"[0.13678787648677826, 0.07732059806585312, 0.14755432307720184, 0.23932823538780212, 0.04743729159235954, 0.10244736820459366, 0.10048182308673859, 0.07189391553401947, 0.07674846053123474]"
8,3,"[0.12158198654651642, 0.08935756981372833, 0.15489162504673004, 0.21151545643806458, 0.045749250799417496, 0.1011039987206459, 0.10401662439107895, 0.08116810023784637, 0.09061533957719803]"
2,3,"[0.11068405956029892, 0.05764206126332283, 0.09872877597808838, 0.2411879599094391, 0.16592903435230255, 0.09713710099458694, 0.08757001161575317, 0.05401434004306793, 0.0871066302061081]"
7,3,"[0.11356353014707565, 0.0917140543460846, 0.11835604906082153, 0.1893456131219864, 0.13159875571727753, 0.09579851478338242, 0.08504605293273926, 0.08125779032707214, 0.09331970661878586]"
4,3,"[0.1108371913433075, 0.056857187300920486, 0.09848193824291229, 0.24383226037025452, 0.16309742629528046, 0.09709279239177704, 0.08900290727615356, 0.05334623530507088, 0.0874519944190979]"
4,3,"[0.10592685639858246, 0.059424471110105515, 0.10089702904224396, 0.23310334980487823, 0.17431753873825073, 0.0937746986746788, 0.08410707116127014, 0.05689670890569687, 0.09155234694480896]"
1,3,"[0.11263644695281982, 0.08148641139268875, 0.11314146220684052, 0.2054951936006546, 0.14528444409370422, 0.09416406601667404, 0.08456456661224365, 0.07231734693050385, 0.09091010689735413]"
2,3,"[0.11577217280864716, 0.1002056673169136, 0.12367314100265503, 0.1778939813375473, 0.11506491899490356, 0.09702102839946747, 0.08452499657869339, 0.08903446793556213, 0.09680964797735214]"
5,3,"[0.11645123362541199, 0.08635672181844711, 0.11606025695800781, 0.2011846899986267, 0.1208895742893219, 0.10139305889606476, 0.0876082107424736, 0.0764283835887909, 0.09362790733575821]"
0,3,"[0.11174692213535309, 0.061289701610803604, 0.10204758495092392, 0.23687371611595154, 0.15487182140350342, 0.09789327532052994, 0.08768484741449356, 0.05784180387854576, 0.08975037187337875]"
5,3,"[0.0984860435128212, 0.050450943410396576, 0.10216543823480606, 0.27585068345069885, 0.15518724918365479, 0.094620481133461, 0.08127862960100174, 0.047874946147203445, 0.094085693359375]"
1,7,"[0.10654877871274948, 0.12361007183790207, 0.12465955317020416, 0.11749707162380219, 0.1070266142487526, 0.06824362277984619, 0.114230215549469, 0.13450294733047485, 0.10368110239505768]"
1,2,"[0.13329140841960907, 0.13466621935367584, 0.13838191330432892, 0.12476814538240433, 0.07845250517129898, 0.06714030355215073, 0.10516280680894852, 0.12222824990749359, 0.09590848535299301]"
8,7,"[0.0973585993051529, 0.12101424485445023, 0.12240917235612869, 0.11219409853219986, 0.1163695678114891, 0.0691400021314621, 0.11835087090730667, 0.1338178813457489, 0.10934558510780334]"
3,2,"[0.12327304482460022, 0.12534424662590027, 0.13184285163879395, 0.12993735074996948, 0.08782332390546799, 0.07065441459417343, 0.10406246036291122, 0.13005441427230835, 0.0970078557729721]"
4,7,"[0.11354152113199234, 0.12625230848789215, 0.1270325481891632, 0.12030409276485443, 0.09909555315971375, 0.06764265149831772, 0.11175091564655304, 0.13441984355449677, 0.09996058791875839]"
3,2,"[0.17898154258728027, 0.14753358066082, 0.1798267364501953, 0.1371150016784668, 0.04470764100551605, 0.06671640276908875, 0.07878567278385162, 0.08269044756889343, 0.08364298194646835]"
5,4,"[0.08539163321256638, 0.09371047466993332, 0.12928538024425507, 0.13104844093322754, 0.16118012368679047, 0.0830196663737297, 0.0889926478266716, 0.10978979617357254, 0.11758184432983398]"
7,3,"[0.10130146145820618, 0.07919076085090637, 0.13301900029182434, 0.23251037299633026, 0.077669657766819, 0.10520809143781662, 0.08662189543247223, 0.07505625486373901, 0.10942245274782181]"
8,2,"[0.15807056427001953, 0.13134481012821198, 0.17179636657238007, 0.15312443673610687, 0.061374492943286896, 0.07594207674264908, 0.0766628161072731, 0.07951320707798004, 0.09217115491628647]"
7,2,"[0.14150922000408173, 0.13932809233665466, 0.14992046356201172, 0.138616681098938, 0.07353683561086655, 0.07134436070919037, 0.09783533960580826, 0.07745876163244247, 0.11045026779174805]"
7,2,"[0.14853808283805847, 0.14715440571308136, 0.1518658697605133, 0.13182859122753143, 0.06563828140497208, 0.06710883229970932, 0.10271412134170532, 0.07272792607545853, 0.1124238669872284]"
2,3,"[0.0856873095035553, 0.05489914491772652, 0.11883258819580078, 0.27104446291923523, 0.14243236184120178, 0.09850644320249557, 0.07683763653039932, 0.052288029342889786, 0.09947198629379272]"
3,3,"[0.10699533671140671, 0.08618243783712387, 0.12917712330818176, 0.19844873249530792, 0.08820345997810364, 0.1019204780459404, 0.0857890173792839, 0.08414241671562195, 0.11914103478193283]"
4,3,"[0.10751459747552872, 0.09408502280712128, 0.13278061151504517, 0.18194124102592468, 0.07933831214904785, 0.1020178273320198, 0.08621416240930557, 0.09309763461351395, 0.12301065772771835]"
2,3,"[0.10268084704875946, 0.080022893846035, 0.13180190324783325, 0.22607707977294922, 0.08090893924236298, 0.10451702773571014, 0.08617109805345535, 0.07636436820030212, 0.11145591735839844]"
7,3,"[0.12022703886032104, 0.10760435461997986, 0.13171304762363434, 0.15887370705604553, 0.09624713659286499, 0.08563831448554993, 0.08968383073806763, 0.10591277480125427, 0.10409977287054062]"
4,7,"[0.11151587963104248, 0.1242426261305809, 0.12203186005353928, 0.12470875680446625, 0.1053776815533638, 0.06753639876842499, 0.11000397801399231, 0.13238202035427094, 0.10220079869031906]"
1,7,"[0.10888723284006119, 0.12517927587032318, 0.1229652613401413, 0.11823740601539612, 0.10617408901453018, 0.06657413393259048, 0.11407916247844696, 0.13535787165164948, 0.10254556685686111]"
4,7,"[0.1029297336935997, 0.12112396210432053, 0.12017132341861725, 0.11745482683181763, 0.11565320193767548, 0.06780990213155746, 0.1145077794790268, 0.13414382934570312, 0.10620542615652084]"
0,7,"[0.1124127209186554, 0.12945447862148285, 0.1256631314754486, 0.11655237525701523, 0.1004936620593071, 0.06559954583644867, 0.1148601695895195, 0.13410915434360504, 0.1008547842502594]"
7,7,"[0.11008568853139877, 0.12586325407028198, 0.12385255098342896, 0.11917398869991302, 0.10447309166193008, 0.0668594017624855, 0.11336048692464828, 0.13405711948871613, 0.10227448493242264]"
2,7,"[0.10049565881490707, 0.12180550396442413, 0.11957619339227676, 0.11373579502105713, 0.11758164316415787, 0.06693191081285477, 0.11689049750566483, 0.13659295439720154, 0.10638986527919769]"
5,3,"[0.08539721369743347, 0.05780821666121483, 0.12297999858856201, 0.2595512270927429, 0.14122025668621063, 0.09875711798667908, 0.07542122155427933, 0.0556858666241169, 0.10317900031805038]"
2,3,"[0.09062618017196655, 0.058640871196985245, 0.12066029757261276, 0.2599736452102661, 0.1344376653432846, 0.09886728227138519, 0.0772513747215271, 0.056529417634010315, 0.10301326960325241]"
5,3,"[0.09287901222705841, 0.062330231070518494, 0.12433858960866928, 0.25571000576019287, 0.1212472915649414, 0.10052352398633957, 0.07787219434976578, 0.060372523963451385, 0.10472655296325684]"
0,3,"[0.09312146157026291, 0.0663210079073906, 0.1268882006406784, 0.2604113519191742, 0.10069436579942703, 0.10404537618160248, 0.08305446803569794, 0.06265974044799805, 0.10280398279428482]"
3,3,"[0.08808375149965286, 0.06422287225723267, 0.13074667751789093, 0.2657587230205536, 0.10425050556659698, 0.10467655211687088, 0.07945582270622253, 0.06115575507283211, 0.10164934396743774]"
2,3,"[0.08912024646997452, 0.06378442049026489, 0.1293354034423828, 0.2671649754047394, 0.1043342873454094, 0.10429760068655014, 0.0798138752579689, 0.06074567884206772, 0.10140349715948105]"
3,3,"[0.09004200994968414, 0.06457624584436417, 0.1289515495300293, 0.26713621616363525, 0.10116403549909592, 0.10461102426052094, 0.08098367601633072, 0.06126081198453903, 0.10127446800470352]"
6,3,"[0.12027347087860107, 0.08451646566390991, 0.14601512253284454, 0.2134607583284378, 0.06233047693967819, 0.10016435384750366, 0.1046951413154602, 0.07634081691503525, 0.09220340847969055]"
1,3,"[0.10385207086801529, 0.07565721124410629, 0.13006478548049927, 0.23008650541305542, 0.09405152499675751, 0.10240211337804794, 0.09209907799959183, 0.06869063526391983, 0.1030961275100708]"
5,3,"[0.11496854573488235, 0.0861547514796257, 0.1459156721830368, 0.21217846870422363, 0.0632917657494545, 0.10089274495840073, 0.10162682086229324, 0.07787439227104187, 0.09709686785936356]"
3,3,"[0.11052089929580688, 0.05206866189837456, 0.12329912185668945, 0.28344622254371643, 0.11593899875879288, 0.0985335186123848, 0.09938737004995346, 0.04513620585203171, 0.07166898995637894]"
6,3,"[0.11662527173757553, 0.047747738659381866, 0.12420913577079773, 0.28530120849609375, 0.11817499995231628, 0.0985787957906723, 0.10163549333810806, 0.04213665425777435, 0.06559070944786072]"
0,3,"[0.11947102844715118, 0.057518258690834045, 0.13363631069660187, 0.2712429165840149, 0.09185225516557693, 0.0989682748913765, 0.1071075052022934, 0.049828946590423584, 0.07037444412708282]"
6,3,"[0.12488514184951782, 0.06966900080442429, 0.14729008078575134, 0.24411006271839142, 0.06614252179861069, 0.09940129518508911, 0.11200612038373947, 0.06121527776122093, 0.07528043538331985]"
7,3,"[0.12972235679626465, 0.0751146599650383, 0.15587681531906128, 0.23274016380310059, 0.05171739310026169, 0.09849335253238678, 0.11555369198322296, 0.06667578220367432, 0.07410580664873123]"
5,3,"[0.13822491466999054, 0.07233846187591553, 0.15923327207565308, 0.23383298516273499, 0.047557082027196884, 0.09686281532049179, 0.12114428728818893, 0.06411473453044891, 0.06669141352176666]"
2,2,"[0.14641913771629333, 0.1279916614294052, 0.15379483997821808, 0.13685199618339539, 0.06683321297168732, 0.07611925899982452, 0.10674475133419037, 0.052568502724170685, 0.13267658650875092]"
0,3,"[0.16731469333171844, 0.10152585804462433, 0.1608203798532486, 0.18767882883548737, 0.05953720584511757, 0.08233841508626938, 0.07214904576539993, 0.07579928636550903, 0.09283625334501266]"
1,3,"[0.17579838633537292, 0.10848944634199142, 0.16958335041999817, 0.18093237280845642, 0.05192933231592178, 0.08065533638000488, 0.06958688050508499, 0.07325749099254608, 0.08976742625236511]"
0,2,"[0.14273785054683685, 0.12046331912279129, 0.15196974575519562, 0.14830532670021057, 0.07912082970142365, 0.0835203230381012, 0.09993729740381241, 0.051976293325424194, 0.121969074010849]"
